ProductName,PriceDescription,FinalPrice
"AmazonBasics 6.5 kg Fully-Automatic Top Load Washing Machine (Grey/Black, Full Metal body, LED Display)","Clicking an ad will take you to the product's page.





    
        
            
                Learn more about Sponsored Products
            
        
        
    

","10,999"
,"₹10,999
₹10,999 
₹25,000
₹25,000 Save ₹14,001 (56%)",
"AmazonBasics 7 kg Fully-Automatic Front Load Washing Machine (Grey/Silver, In-built Heater, Self cleaning technology)","Clicking an ad will take you to the product's page.





    
        
            
                Learn more about Sponsored Products
            
        
        
    

","19,499"
,"₹19,499
₹19,499 
₹37,000
₹37,000 Save ₹17,501 (47%)",
"Samsung 6.2 kg Fully-Automatic Top load Washing Machine (WA62M4100HY/TL, Imperial Silver)","₹13,900
₹13,900 
₹15,900
₹15,900 Save ₹2,000 (13%)","13,900"
"Whirlpool 7.5 Kg Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ELITE 7.5 10YMW, Grey)","₹16,250
₹16,250 
₹20,550
₹20,550 Save ₹4,300 (21%)","16,250"
"Haier 5.8 kg Fully-Automatic Top Loading Washing Machine (HWM58-020S, White)","₹12,099
₹12,099 ","12,099"
"LG 6.5 kg Inverter Fully-Automatic Top Loading Washing Machine (-T7569NDDLH.ASFPEIL , Middle Free Silver)","₹16,709
₹16,709 
₹24,990
₹24,990 Save ₹8,281 (33%)","16,709"
"Whirlpool 6.2 kg Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.2, Shiny Grey, Hard Water Wash)","₹12,990
₹12,990 
₹16,800
₹16,800 Save ₹3,810 (23%)","12,990"
"Whirlpool 6.5 kg Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.5, Shiny Grey, Hard Water Wash)","₹13,999
₹13,999 
₹17,700
₹17,700 Save ₹3,701 (21%)","13,999"
"IFB 6.5 kg Fully-Automatic Top Loading Washing Machine (TL-RDW 6.5kg Aqua, Ivory White, Aqua Energie water softener)","₹16,999
₹16,999 
₹18,990
₹18,990 Save ₹1,991 (10%)","16,999"
"Whirlpool 7 Kg Fully-Automatic Top Loading Washing Machine (STAINWASH ULTRA 7.0, Black Gold, In-built Heater)","₹18,990
₹18,990 
₹23,400
₹23,400 Save ₹4,410 (19%)","18,990"
"AmazonBasics 6 kg Fully-Automatic Front Load Washing Machine (Grey/Silver, In-built Heater, Self cleaning technology)","Clicking an ad will take you to the product's page.





    
        
            
                Learn more about Sponsored Products
            
        
        
    

","17,499"
,"₹17,499
₹17,499 
₹32,000
₹32,000 Save ₹14,501 (45%)",
Hilton 3 kg Single-Tub Washing Machine with Spin Dryer (Blue),"Clicking an ad will take you to the product's page.





    
        
            
                Learn more about Sponsored Products
            
        
        
    

","3,250"
,"₹3,250
₹3,250 
₹5,999
₹5,999 Save ₹2,749 (46%)",
"Whirlpool 7 kg Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ELITE 7.0, Wine, Hard Water Wash)","₹15,988
₹15,988 
₹20,200
₹20,200 Save ₹4,212 (21%)","15,988"
"Godrej 6.2 Kg Fully-Automatic Top Loading Washing Machine (WT EON 620 A Gp Gr, Grey)","₹12,999
₹12,999 
₹17,900
₹17,900 Save ₹4,901 (27%)","12,999"
"Whirlpool 7 kg Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL PLUS 7.0, Shiny Grey, Hard Water Wash)","₹14,999
₹14,999 
₹19,750
₹19,750 Save ₹4,751 (24%)","14,999"
"Bosch 6.5 Kg Fully-Automatic Top Loading Washing Machine (WOE654W0IN, White)","₹15,499
₹15,499 
₹18,499
₹18,499 Save ₹3,000 (16%)","15,499"
