ProductName,PriceDescription,FinalPrice
Whirlpool 7.5 Kg 5 Star Royal Plus Fully-Automatic Top Loading Washing Machine (WM 5 Star Royal Plus 7.5 Grey 5YMW),"Clicking an ad will take you to the product's page.





    
        
            
                Learn more about Sponsored Products
            
        
        
    

","15,990"
,"₹15,990
₹15,990 
₹19,950
₹19,950 Save ₹3,960 (20%)",
Whirlpool 6 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WM 5 Star Royal 6.0 Satin Grey 5YMW),"Clicking an ad will take you to the product's page.





    
        
            
                Learn more about Sponsored Products
            
        
        
    

","12,690"
,"₹12,690
₹12,690 
₹16,200
₹16,200 Save ₹3,510 (22%)",
"Samsung 6.2 kg Fully-Automatic Top load Washing Machine (WA62M4100HY/TL, Imperial Silver)","₹13,900
₹13,900 
₹15,900
₹15,900 Save ₹2,000 (13%)","13,900"
"Bosch 7 kg Fully-Automatic Front Loading Washing Machine (WAK24168IN, Silver, Inbuilt Heater)",Best in class,"28,999"
"IFB 6 kg Fully-Automatic Front Loading Washing Machine (Diva Aqua SX, Silver, Inbuilt Heater, Aqua Energie water softener)",Value for money,"22,790"
"LG 6 kg Inverter Fully-Automatic Front Loading Washing Machine (-FH0FANDNL02.ABWPEPL , White, Inbuilt Heater)",Also consider,"24,990"
"Samsung 6 kg Fully-Automatic Front Loading Washing Machine (WW60M206LMW/TL, White, Inbuilt Heater)",Best for energy savings,"22,200"
"Whirlpool 7 Kg Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 70S GREY DAZZLE (5YR), Grey Dazzle)","₹9,450
₹9,450 
₹11,250
₹11,250 Save ₹1,800 (16%)","9,450"
"Whirlpool 7.2 Kg Semi-Automatic Top Loading Washing Machine (ACE SUPREME PLUS 7.2, Coral Red, Ace Wash Station)","₹9,460
₹9,460 
₹11,750
₹11,750 Save ₹2,290 (19%)","9,460"
"LG 7 Kg Semi-Automatic Top Loading Washing Machine (P7020NGAY, Dark Grey)","₹10,800
₹10,800 
₹14,490
₹14,490 Save ₹3,690 (25%)","10,800"
"Whirlpool 6.2 kg Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.2, Shiny Grey, Hard Water Wash)","₹12,990
₹12,990 
₹16,800
₹16,800 Save ₹3,810 (23%)","12,990"
"Onida 6.5 kg Washer Only (WS65WLPT1LR Liliput, Lava Red)","₹5,099
₹5,099 ","5,099"
"Haier 5.8 kg Fully-Automatic Top Loading Washing Machine (HWM58-020S, White)","₹12,099
₹12,099 ","12,099"
"DMR 3 kg Portable Mini Washing Machine with Dryer Basket (DMR 30-1208, Blue)","₹3,899
₹3,899 
₹5,299
₹5,299 Save ₹1,400 (26%)","3,899"
"AmazonBasics 6.5 kg Fully-Automatic Top Load Washing Machine (Grey/Black, Full Metal body, LED Display)","Clicking an ad will take you to the product's page.





    
        
            
                Learn more about Sponsored Products
            
        
        
    

","10,999"
,"₹10,999
₹10,999 
₹25,000
₹25,000 Save ₹14,001 (56%)",
"AmazonBasics 7 kg Fully-Automatic Front Load Washing Machine (Grey/Silver, In-built Heater, Self cleaning technology)","Clicking an ad will take you to the product's page.





    
        
            
                Learn more about Sponsored Products
            
        
        
    

","19,499"
,"₹19,499
₹19,499 
₹37,000
₹37,000 Save ₹17,501 (47%)",
